id,item.acabamento
325734,5
21979,1
621588,1
160924,4
247007,5
169706,4
18200,5
587270,4
654287,2
326470,4
330093,5
177362,4
47249,4
100799,1
254960,4
228882,2
282753,3
162024,1
213706,1
256526,1
394707,5
279970,2
199780,3
483417,3
632498,2
145005,3
539786,1
29470,2
144140,5
275814,2
681777,1
600259,4
83234,2
246493,5
636242,3
325508,5
269075,3
198333,5
679533,5
177537,3
213698,2
229636,2
603020,4
659231,4
489051,4
404436,1
609771,1
488430,5
208711,3
493467,2
418178,2
46716,4
88191,5
685499,2
290185,4
116703,2
600798,3
51951,2
255441,3
406255,3
23519,2
317952,3
505591,4
547723,1
541462,3
10990,4
306394,3
309807,3
208847,1
367012,3
510823,3
212860,1
669472,3
394934,2
88188,5
211882,1
18197,5
660202,2
358730,3
461423,3
539316,2
547944,1
246491,5
618831,1
134005,4
84004,2
88192,5
275989,3
651452,2
434936,3
187500,5
650193,5
75387,2
330125,5
106743,2
447903,2
325506,5
187499,5
491133,2
330086,5
149007,4
247808,5
344500,3
607448,2
103590,4
401326,2
330090,5
285828,4
559184,1
39382,3
666177,3
88229,5
400779,2
143695,2
80212,4
551483,5
430582,3
420941,1
18911,4
299596,2
325439,5
286802,4
247811,5
217904,3
434923,4
162423,3
27651,2
628177,1
32903,5
255246,1
604291,3
627861,1
98499,2
387393,3
657401,3
184433,2
501368,5
476313,3
88768,2
21120,3
394569,4
548907,1
303413,5
576315,2
473622,3
7454,2
163140,4
404526,1
478804,2
600311,5
533353,3
536082,3
568416,4
353895,4
351844,4
438209,2
404997,1
573640,3
550531,2
370938,4
656907,1
88184,4
311508,4
35260,4
509617,4
414935,2
51839,2
589992,3
247223,5
550641,4
664379,5
81186,5
212894,1
389426,3
245233,2
43918,4
476083,4
650323,4
528154,4
36247,4
499567,4
53414,3
177791,3
617908,5
246492,5
294305,1
627596,1
270268,2
373415,2
648575,2
589934,4
485086,2
159087,3
561922,3
637684,1
239797,1
627896,1
234853,1
558504,2
