id,item.acabamento
208320,4
362577,2
619824,4
5730,1
32938,4
180800,1
570171,1
317983,1
160452,1
653932,1
153799,5
59898,1
170268,3
633953,1
80055,5
509005,1
213773,1
574237,2
170691,1
409676,1
83626,2
430492,5
125833,5
396586,1
531244,1
567632,2
249634,4
116697,1
150819,1
633638,1
597808,1
214806,1
260930,3
128209,1
525418,3
174036,1
505566,2
568728,1
563998,1
560334,1
146352,3
175384,1
511273,1
397435,1
556266,1
21737,1
556849,1
422236,1
245608,2
662802,1
286791,1
10472,3
199045,1
289459,1
169183,1
455531,3
281374,1
421383,1
561148,1
137662,1
406767,1
250563,1
104399,1
253684,1
539717,1
122224,1
431528,1
421534,1
230293,3
35525,2
409863,1
222428,1
567221,1
159180,1
249214,1
558420,1
675151,1
573426,1
355175,3
603739,3
275606,1
179772,1
534111,1
351325,1
100338,1
349606,4
193072,3
579262,1
297648,5
543910,1
684744,2
478055,1
37705,5
358960,1
96005,1
41483,1
582721,1
392841,1
518352,3
591154,5
617019,3
227659,2
383098,3
296441,1
172805,4
31779,4
414808,2
178102,1
626220,4
512005,2
317245,1
154305,5
149651,2
273507,3
75330,1
522757,1
234894,1
310997,4
642179,1
63610,5
639823,1
372577,5
67996,1
684348,2
527219,3
672197,1
465112,2
68681,1
425278,1
87065,5
195266,1
241287,1
617033,1
592586,1
90452,2
59669,1
137943,1
533834,1
135412,3
46048,1
394570,1
506300,2
176886,1
126413,1
293149,1
78278,5
122558,1
539209,1
225379,1
533424,1
481461,4
633992,3
130262,1
418562,1
582732,1
142127,1
79185,5
496865,1
115265,1
38028,1
113075,1
421009,1
285071,3
14165,3
54754,2
670609,1
574150,1
626600,1
56443,1
97752,1
55222,1
196624,1
576484,1
391483,2
368948,5
607235,2
329845,1
630894,1
580945,2
641965,1
284857,1
139639,1
125674,2
606213,1
95893,2
170153,3
326342,5
263655,1
373427,5
443981,1
77294,1
26284,1
28616,1
51419,1
456077,1
470056,3
61454,1
198654,2
259718,4
458253,3
649714,2
273238,1
313753,1
43544,3
59637,5
466178,3
84867,5
267531,2
487404,3
398786,1
204902,3
491784,1
368342,5
297415,5
654928,1
402376,1
254335,5
586013,1
284386,1
147996,1
56014,1
598706,1
59846,5
50599,1
439652,3
223838,1
645061,1
512846,4
150652,1
424827,1
215466,5
632774,1
554439,4
226048,1
107409,2
516304,1
55715,2
41429,3
626829,5
210975,1
661865,4
361414,1
619081,1
509468,1
103822,1
594228,1
611668,2
218981,1
507715,1
685091,1
270124,1
48624,5
468270,2
326211,5
630347,1
568386,1
93550,1
106813,1
587582,1
71144,1
20196,1
434606,5
138668,1
549288,5
605849,1
196202,3
18059,1
150930,1
677224,1
507853,1
452465,1
451281,2
451227,3
499571,3
329477,3
398516,1
337177,2
193615,2
536816,1
646682,1
678555,1
44017,1
553788,3
554372,3
674938,1
408452,1
635914,1
385107,1
260229,4
37538,2
527528,3
599634,3
611318,2
228874,3
72071,1
373420,2
368257,5
257903,4
252837,1
451784,1
174708,1
474568,1
304209,2
94852,2
292901,1
491751,1
159870,1
33600,1
628628,1
294760,1
29511,5
110363,1
442274,1
584935,1
616158,1
310515,1
331381,1
394215,3
440333,5
191171,1
152658,1
318759,1
110728,3
365317,3
369145,5
63460,5
546850,1
376117,1
300789,1
632094,1
490762,1
539852,1
474468,1
549087,5
56675,1
616900,2
588946,4
45590,1
156705,1
445546,1
422838,1
570947,1
377200,1
641502,1
619666,1
154087,5
87244,3
414513,3
513524,3
638087,2
103872,1
152264,4
676295,1
194151,1
247883,1
59503,1
444030,1
629069,5
482692,2
476295,3
18673,1
672565,1
597566,2
568692,1
658115,1
660581,1
253723,1
75698,1
550247,1
293192,1
275852,5
118162,1
88812,5
455273,3
132233,1
399587,1
84822,5
296077,1
116419,1
142800,1
406185,1
497479,2
165686,5
169021,2
369838,5
606605,1
563685,1
371062,4
48551,5
67844,1
574029,2
182535,1
383673,2
534999,1
266433,1
149846,1
576086,1
204263,1
472846,3
67137,1
189447,1
448536,3
262573,1
237085,1
16329,2
357279,1
102767,4
167471,3
141339,1
277544,1
504907,1
601664,1
148282,1
543994,1
171574,1
247730,1
613814,2
19067,1
153100,1
557864,1
537039,1
480755,1
353274,1
546443,1
184826,1
644067,2
144997,1
605544,1
283415,2
77954,2
406927,1
663244,1
677066,1
523440,1
259285,2
554848,3
559448,1
249394,3
629115,3
362982,3
324739,5
186196,1
226942,1
623342,2
650823,4
186233,1
325869,5
647134,1
22352,3
361058,1
11317,2
177279,1
617290,1
576075,1
355388,1
296876,5
581401,1
519337,1
15005,1
295933,1
312674,5
344698,1
131180,3
136491,1
639424,5
626685,1
617124,1
191001,3
495177,1
216658,2
452160,5
553744,3
261590,1
309277,5
86846,5
327754,1
277004,2
137421,1
583359,2
493873,1
628123,1
130826,3
541777,1
175554,1
499217,3
627210,1
73354,1
674207,1
669879,1
300273,1
593606,5
257526,4
174925,1
111478,1
602656,1
646563,1
561374,5
671933,3
173804,4
420500,4
268684,1
211556,4
676188,1
198832,1
381007,2
504671,1
66255,1
144428,1
544134,1
519682,1
171689,1
131936,2
58958,5
518674,3
589949,1
78621,2
204683,1
424385,1
333073,3
255912,4
341249,3
483426,1
298831,5
434990,5
389776,1
482475,2
259353,3
18591,1
411123,5
662452,2
300970,2
107394,3
429763,5
289909,1
647804,1
325118,5
328903,1
676836,1
492601,1
60132,1
586032,2
91723,5
259595,4
328239,1
490351,1
12298,3
383754,2
566336,1
602250,1
345834,5
472968,3
60609,2
365031,5
312841,5
65220,5
653885,1
333996,3
510200,2
508138,1
423831,1
76872,5
64294,1
586329,2
670820,1
610703,2
640759,1
273545,4
89614,5
292073,4
142535,1
639323,4
168441,2
186914,1
270153,1
207638,1
258043,4
51916,1
557374,2
99709,1
28097,1
428140,1
227968,5
603768,3
539330,3
6026,2
577400,1
116113,1
399513,1
167885,4
57628,1
88580,2
265705,1
61011,2
187505,3
534627,1
653518,1
442005,1
366248,4
228826,1
560881,1
63648,2
266922,1
522065,1
245636,1
236146,1
97548,1
12127,3
37656,2
521296,1
566440,2
405649,1
377369,3
170772,1
462353,1
683277,1
140632,1
64121,1
210666,3
557481,2
435870,2
324535,5
197109,1
232368,3
357729,1
116841,1
391208,1
283379,3
280848,1
60800,1
192043,1
70922,1
631471,1
450392,4
424843,1
412715,1
139943,1
228483,1
392119,1
438530,1
225319,1
599835,2
363838,1
116876,1
586045,2
156833,1
660184,1
175170,2
590414,1
517098,1
324371,5
531099,1
360492,4
552730,2
193443,1
367384,3
91306,5
109188,1
393134,4
405945,1
314542,1
300813,1
130222,1
529855,1
662366,3
337217,2
380714,1
235063,1
242284,1
355778,1
555717,3
186954,1
652502,1
478325,2
539400,1
514049,2
521458,1
607546,1
47066,4
661610,4
33250,1
140079,1
