id,item.acabamento
598092,1
522398,4
78396,2
465558,2
182630,2
410861,2
651407,2
254929,1
406272,2
539830,1
649969,2
516971,2
196826,4
10536,4
327218,2
505108,2
151902,2
644493,1
498938,3
607389,1
677647,2
574818,1
515528,1
195282,4
436748,4
23175,2
609352,4
95977,2
527226,2
572695,2
618431,4
429377,2
117692,2
385442,3
36168,1
303044,4
359636,2
5727,4
39645,2
256526,2
290868,4
493885,2
532514,3
518331,1
581351,2
370622,3
325065,2
546974,2
386660,3
234890,1
196750,4
381405,4
387863,2
396102,3
615809,1
627532,1
617819,1
45550,4
46527,4
627977,1
422720,4
480377,3
214413,1
654081,1
2396,4
34005,4
212846,1
536948,3
658564,2
658757,2
627597,1
585675,3
192171,2
527648,4
254921,1
519769,4
47477,4
992,4
214363,1
247329,4
552289,1
602327,2
483417,4
399479,2
437649,4
600883,4
611888,2
227977,3
42607,4
187776,2
187499,4
660790,4
163151,2
42246,1
651789,2
112693,4
628123,1
612693,2
368188,3
121054,2
465232,4
596471,4
352478,4
460017,2
82503,2
662394,3
144140,4
137404,4
523766,4
484871,2
380925,4
267354,2
627441,1
349771,2
305767,4
214886,1
160155,4
213964,1
406589,4
266145,2
318089,4
884,3
164527,4
444036,5
162002,1
650755,1
350968,1
117026,2
148498,1
182673,2
658269,1
240113,4
132296,4
369289,3
587757,4
171083,2
127753,3
168661,4
289728,2
211881,1
366547,4
253332,3
598193,1
627591,1
357260,2
352608,4
186329,2
293597,1
129600,2
519504,1
521704,2
411588,4
374173,3
483305,3
530527,3
499822,1
673808,4
511777,4
213827,1
283483,1
148458,1
483380,4
327510,4
546294,2
559405,3
139446,4
509244,1
315046,4
291302,1
218259,1
546962,2
527102,2
552299,1
256676,2
647679,1
184930,4
600127,4
330094,4
271988,2
235407,1
144159,4
87128,2
388788,3
32182,4
161497,4
259296,2
669849,4
271743,2
418695,3
261920,3
235418,1
229118,1
248989,1
364209,2
628134,1
359727,4
177768,4
648846,1
178120,4
637094,2
143453,2
528309,4
312217,2
585145,2
506313,3
598820,2
52535,1
244366,2
524888,4
547064,2
118119,2
363820,4
656897,1
314634,1
285238,2
28683,2
627892,1
4524,3
523131,4
254432,1
421752,1
647582,1
181748,2
650811,2
678603,1
302202,2
483867,4
213228,1
477002,2
220641,1
552288,1
499239,3
96793,3
264945,3
238750,4
505591,2
51080,4
564268,4
651421,2
299230,3
161978,1
631175,4
251292,3
410435,2
116593,2
627756,2
607570,1
271557,2
373141,4
543501,2
80828,2
272859,1
579302,2
291298,1
538981,3
407096,2
10982,4
296859,2
442460,1
190658,2
588330,2
588443,2
