id,item.acabamento
608202,3
3547,1
682290,1
465675,5
574571,1
667899,1
234227,4
114709,1
569000,1
192220,4
505962,1
394102,3
518274,1
214559,2
28441,2
25822,1
391838,1
604284,1
2769,2
166320,1
280955,2
222696,4
595991,1
247274,5
189507,1
264684,5
353258,1
418608,2
130887,2
418325,1
609091,5
91964,1
354835,1
288851,2
62528,2
546798,1
570724,2
57964,4
52400,1
402801,3
66168,4
101350,1
470539,1
662915,3
154703,2
74496,4
512377,1
31674,2
208461,1
538854,1
533453,1
227124,1
3888,1
213044,1
612288,4
191273,1
86534,1
93567,3
360402,3
138939,4
681661,1
178826,3
679831,4
590103,1
204344,2
451145,1
622917,4
480037,2
354620,4
202262,3
425975,2
26865,1
526132,1
476321,4
609188,4
665265,1
372613,1
589906,1
149373,1
428736,1
455478,1
181544,4
366782,1
656517,4
22392,3
468925,1
362978,4
350228,1
59634,3
542009,4
260532,4
126519,3
37232,4
606436,3
339448,1
72678,2
130222,3
393970,4
33033,5
114850,1
241631,3
583956,1
258313,1
349207,2
652835,1
642073,2
166807,5
332365,4
15050,2
478554,3
144676,1
82961,2
154684,1
135900,3
67303,2
470286,1
461987,4
384033,1
680226,4
258696,2
32728,3
283248,1
539781,4
70906,2
119479,2
443770,4
52365,1
310681,3
541496,5
198418,4
507378,1
445798,3
200265,4
363060,1
23327,3
276556,2
414464,2
408263,4
298163,4
483295,4
321125,2
182142,1
21165,2
150906,4
306689,2
559526,2
673795,1
243066,2
328830,1
128114,1
493557,3
110347,4
127101,1
259885,4
347452,3
112805,1
683740,4
546474,1
538231,4
319300,1
284791,2
554851,1
585663,1
264765,1
226455,4
432658,1
319847,2
653528,1
530696,2
624894,1
360107,3
165980,3
11769,3
585708,1
532578,4
678499,1
293510,4
684488,1
224501,4
357206,1
2701,4
383758,3
167118,2
485479,1
482226,3
148964,1
223078,4
107600,2
66613,4
424110,5
312747,1
387879,1
217503,3
614634,4
651427,1
589087,2
615574,1
609104,1
419449,5
275856,1
123464,5
591448,4
509989,1
370796,2
494803,3
329233,1
242907,4
573535,3
28477,2
160326,4
55320,3
77876,2
163897,4
81500,1
352262,2
337113,3
149394,1
19022,1
237532,1
187028,4
20993,2
211004,1
73265,2
272970,1
638558,4
374343,1
538739,1
474446,1
240813,1
640083,2
201029,4
284108,1
217459,4
354149,4
556651,5
300428,4
325695,2
435606,3
283538,1
198353,4
634085,1
253785,4
536819,2
630782,1
42347,2
152215,3
191187,4
523965,4
439795,1
565996,1
313675,1
626250,2
119,4
255272,4
106180,4
337381,1
445925,1
39987,3
329975,1
424322,5
69977,2
58031,3
533878,2
245386,2
277871,4
153339,4
468563,1
606851,1
583724,5
92620,3
377069,4
90677,2
616693,1
457536,2
116445,2
168529,1
515423,4
488086,1
553656,3
270910,4
89621,3
459354,5
360778,1
636745,2
326163,3
601178,4
411360,2
655560,1
546415,1
621883,1
96292,3
491578,1
451359,4
247896,4
376725,3
130455,1
204388,2
394432,5
497689,1
513668,4
3575,1
242055,1
592457,4
384848,1
119609,2
36583,4
283391,4
150446,2
154352,4
579822,4
91826,1
35508,3
88465,3
75265,1
469216,1
464288,1
434992,2
629363,1
417597,2
415039,1
208254,1
416192,2
659134,1
577710,1
160061,5
635986,3
75821,3
566276,1
135932,3
230666,4
99073,2
21426,2
648999,4
444490,1
103834,2
565508,1
452837,1
408391,4
598052,1
645241,3
425980,1
167408,3
592453,4
633453,1
466224,1
534493,1
104048,1
638792,4
496409,1
644711,1
675774,1
553381,1
84806,1
483290,3
396211,1
397012,5
561754,1
184750,3
638286,4
167466,4
681173,5
427972,1
299172,1
538675,1
70821,1
22885,3
525881,2
348644,3
318757,2
112446,4
198876,2
671622,3
9003,1
296986,4
675543,3
60540,2
441002,4
