id,item.acabamento
208320,2
362577,2
619824,1
5730,1
32938,4
180800,2
570171,1
317983,1
160452,2
653932,2
153799,1
59898,1
170268,4
633953,2
80055,1
509005,2
213773,1
574237,1
170691,1
409676,1
83626,2
430492,2
125833,2
396586,1
531244,1
567632,2
249634,1
116697,1
150819,1
633638,2
597808,2
214806,2
260930,2
128209,1
525418,1
174036,1
505566,1
568728,1
563998,1
560334,1
146352,2
175384,2
511273,2
397435,2
556266,3
21737,1
556849,1
422236,2
245608,1
662802,2
286791,1
10472,5
199045,1
289459,1
169183,1
455531,1
281374,1
421383,1
561148,1
137662,2
406767,1
250563,1
104399,1
253684,2
539717,1
122224,1
431528,2
421534,2
230293,2
35525,1
409863,1
222428,1
567221,1
159180,2
249214,1
558420,1
675151,2
573426,1
355175,2
603739,2
275606,1
179772,2
534111,1
351325,1
100338,1
349606,1
193072,1
579262,1
297648,1
543910,1
684744,1
478055,1
37705,2
358960,1
96005,1
41483,1
582721,3
392841,2
518352,1
591154,1
617019,1
227659,2
383098,1
296441,1
172805,1
31779,1
414808,1
178102,2
626220,1
512005,2
317245,2
154305,1
149651,1
273507,5
75330,1
522757,1
234894,1
310997,1
642179,1
63610,2
639823,1
372577,2
67996,1
684348,1
527219,1
672197,1
465112,1
68681,1
425278,1
87065,1
195266,2
241287,2
617033,1
592586,1
90452,2
59669,1
137943,2
533834,1
135412,1
46048,1
394570,2
506300,2
176886,2
126413,2
293149,1
78278,2
122558,1
539209,1
225379,1
533424,1
481461,1
633992,1
130262,2
418562,1
582732,3
142127,1
79185,1
496865,1
115265,1
38028,1
113075,1
421009,1
285071,2
14165,2
54754,2
670609,1
574150,1
626600,2
56443,1
97752,4
55222,1
196624,2
576484,1
391483,2
368948,1
607235,1
329845,1
630894,1
580945,2
641965,1
284857,2
139639,2
125674,2
606213,1
95893,2
170153,4
326342,2
263655,2
373427,1
443981,1
77294,1
26284,1
28616,1
51419,1
456077,1
470056,1
61454,1
198654,2
259718,4
458253,1
649714,5
273238,1
313753,2
43544,1
59637,2
466178,1
84867,1
267531,2
487404,1
398786,1
204902,5
491784,2
368342,1
297415,1
654928,2
402376,1
254335,1
586013,2
284386,2
147996,1
56014,1
598706,1
59846,2
50599,1
439652,2
223838,1
645061,2
512846,1
150652,1
424827,1
215466,2
632774,1
554439,1
226048,1
107409,2
516304,1
55715,2
41429,1
626829,1
210975,1
661865,1
361414,1
619081,2
509468,1
103822,1
594228,2
611668,2
218981,1
507715,1
685091,1
270124,1
48624,1
468270,2
326211,1
630347,2
568386,1
93550,1
106813,1
587582,2
71144,1
20196,1
434606,1
138668,2
549288,1
605849,1
196202,1
18059,1
150930,1
677224,1
507853,1
452465,1
451281,2
451227,1
499571,2
329477,2
398516,1
337177,5
193615,1
536816,1
646682,1
678555,1
44017,1
553788,1
554372,1
674938,2
408452,1
635914,2
385107,2
260229,2
37538,2
527528,1
599634,4
611318,2
228874,1
72071,1
373420,2
368257,1
257903,1
252837,1
451784,1
174708,2
474568,2
304209,1
94852,2
292901,1
491751,2
159870,4
33600,1
628628,1
294760,1
29511,5
110363,1
442274,1
584935,1
616158,1
310515,2
331381,1
394215,2
440333,5
191171,1
152658,1
318759,1
110728,1
365317,5
369145,1
63460,2
546850,2
376117,2
300789,1
632094,1
490762,1
539852,1
474468,2
549087,1
56675,1
616900,2
588946,1
45590,1
156705,2
445546,1
422838,2
570947,1
377200,2
641502,1
619666,1
154087,1
87244,1
414513,1
513524,3
638087,2
103872,1
152264,1
676295,2
194151,1
247883,1
59503,1
444030,2
629069,5
482692,2
476295,1
18673,5
672565,1
597566,2
568692,1
658115,1
660581,2
253723,2
75698,1
550247,1
293192,1
275852,1
118162,1
88812,1
455273,1
132233,2
399587,1
84822,1
296077,1
116419,1
142800,1
406185,1
497479,2
165686,2
169021,2
369838,1
606605,2
563685,2
371062,1
48551,1
67844,1
574029,1
182535,2
383673,2
534999,1
266433,1
149846,1
576086,1
204263,1
472846,1
67137,1
189447,1
448536,2
262573,2
237085,4
16329,2
357279,1
102767,1
167471,1
141339,1
277544,1
504907,1
601664,1
148282,1
543994,1
171574,1
247730,1
613814,2
19067,2
153100,1
557864,1
537039,1
480755,1
353274,1
546443,1
184826,1
644067,2
144997,1
605544,1
283415,4
77954,2
406927,1
663244,1
677066,1
523440,1
259285,2
554848,1
559448,1
249394,2
629115,5
362982,2
324739,1
186196,1
226942,1
623342,2
650823,1
186233,1
325869,2
647134,4
22352,2
361058,1
11317,2
177279,3
617290,2
576075,1
355388,1
296876,1
581401,1
519337,1
15005,1
295933,1
312674,1
344698,1
131180,1
136491,1
639424,1
626685,1
617124,2
191001,2
495177,1
216658,1
452160,1
553744,1
261590,2
309277,1
86846,1
327754,1
277004,2
137421,2
583359,2
493873,1
628123,1
130826,1
541777,1
175554,2
499217,2
627210,1
73354,1
674207,2
669879,2
300273,1
593606,1
257526,1
174925,2
111478,1
602656,1
646563,1
561374,1
671933,1
173804,1
420500,2
268684,1
211556,1
676188,2
198832,1
381007,1
504671,1
66255,1
144428,1
544134,1
519682,1
171689,1
131936,2
58958,2
518674,1
589949,1
78621,2
204683,1
424385,1
333073,2
255912,1
341249,2
483426,2
298831,1
434990,1
389776,2
482475,2
259353,1
18591,2
411123,2
662452,1
300970,2
107394,1
429763,1
289909,1
647804,1
325118,2
328903,1
676836,1
492601,1
60132,1
586032,2
91723,1
259595,1
328239,1
490351,1
12298,5
383754,2
566336,1
602250,2
345834,1
472968,1
60609,2
365031,5
312841,1
65220,2
653885,2
333996,1
510200,1
508138,2
423831,1
76872,2
64294,1
586329,1
670820,1
610703,2
640759,2
273545,1
89614,1
292073,1
142535,2
639323,5
168441,1
186914,1
270153,1
207638,1
258043,1
51916,2
557374,2
99709,1
28097,1
428140,1
227968,1
603768,2
539330,1
6026,2
577400,1
116113,1
399513,1
167885,1
57628,1
88580,2
265705,2
61011,2
187505,2
534627,1
653518,2
442005,1
366248,4
228826,1
560881,1
63648,2
266922,1
522065,1
245636,1
236146,1
97548,2
12127,5
37656,2
521296,1
566440,2
405649,1
377369,2
170772,1
462353,1
683277,2
140632,2
64121,1
210666,1
557481,5
435870,2
324535,1
197109,5
232368,1
357729,1
116841,1
391208,1
283379,1
280848,1
60800,1
192043,1
70922,1
631471,1
450392,1
424843,1
412715,1
139943,2
228483,1
392119,2
438530,1
225319,1
599835,2
363838,1
116876,1
586045,2
156833,1
660184,2
175170,2
590414,1
517098,1
324371,1
531099,1
360492,1
552730,1
193443,2
367384,2
91306,2
109188,1
393134,4
405945,1
314542,2
300813,1
130222,2
529855,1
662366,1
337217,2
380714,2
235063,1
242284,1
355778,1
555717,1
186954,1
652502,1
478325,2
539400,1
514049,1
521458,1
607546,2
47066,1
661610,1
33250,1
140079,2
389658,2
247765,1
476942,3
639473,1
376222,1
340522,1
514552,1
497289,1
494181,1
320806,1
574128,1
215323,1
582043,1
271055,1
166262,2
328472,1
90334,2
325038,2
661184,1
671571,1
218965,1
247850,2
471661,1
166016,2
173425,2
185243,1
497962,1
656609,2
506520,1
393533,2
624480,1
400042,1
413399,1
339181,1
483037,2
347832,1
106793,1
176181,2
302663,1
9779,1
199191,1
142944,1
467175,1
298822,1
333453,1
149051,1
71430,2
182289,1
431202,2
590671,1
559296,1
637171,1
312565,1
23013,1
626732,1
250576,1
553272,1
254870,1
394650,5
351522,2
170272,1
208536,1
42652,5
547556,1
323184,2
560266,2
515482,1
680374,1
448170,1
423424,1
329370,1
520335,1
301906,1
379389,1
371231,1
680381,1
362150,2
144731,1
680416,1
518906,1
329629,1
35778,1
684826,1
14943,1
404062,1
595555,2
355710,1
585043,1
336791,2
496087,1
416746,1
520106,2
44964,1
446937,1
355919,1
658261,1
672976,5
655475,1
215766,1
644559,1
212929,1
194989,5
279199,1
114812,1
321096,1
306705,1
305445,1
323376,1
384707,2
550537,1
284247,1
435320,1
211352,1
513988,1
250351,1
576888,1
596458,1
550749,1
555500,1
233069,1
661342,2
220805,1
256582,1
171051,1
81832,1
552848,1
558491,1
8802,2
424114,2
148881,1
647879,1
530885,5
583729,2
180842,2
250555,1
408932,2
140218,2
3195,1
60272,2
16262,2
74544,1
550427,1
517494,1
141324,1
344025,1
115845,1
329966,2
72272,1
423601,2
247619,1
617565,1
659789,3
640128,1
51917,2
207932,1
289076,1
630248,2
447616,1
292757,2
278738,1
529765,1
225135,1
199077,1
618091,2
77535,2
681557,1
392493,2
114613,1
458023,1
655464,2
343166,1
47069,1
341784,1
162076,2
337346,1
595313,2
4427,1
674194,2
275015,2
509274,1
35186,1
419621,1
650648,1
669299,1
329044,1
463046,1
427678,1
129088,5
599862,2
495385,1
478150,1
2057,1
526808,2
573212,1
159480,2
345827,1
245420,1
193883,1
216786,1
22392,2
79074,2
580597,1
74997,1
605859,1
559575,1
104997,1
389768,2
375317,2
180170,2
54576,1
391102,2
81605,2
301068,2
186235,1
198223,1
597136,2
670220,2
276808,1
640716,1
403671,1
30482,1
443606,1
228246,1
274661,1
544451,1
504828,1
631917,2
58942,1
486291,1
378460,1
248842,2
582870,1
125650,2
185861,1
63444,2
395934,1
663912,2
42041,5
519436,1
96326,2
217131,2
304216,1
396186,2
219964,2
489601,1
348422,1
536705,1
395122,1
274742,1
670753,1
605823,1
53339,1
138711,2
421679,1
129772,1
76847,2
652808,1
84512,1
238863,2
569969,1
260803,1
496109,1
145060,1
146717,1
54886,1
505117,1
286430,1
594193,1
18259,2
647853,1
248624,1
196057,1
310827,1
404502,1
418950,1
472370,1
229001,1
140766,2
111037,1
348765,1
547905,1
248287,2
617706,2
386093,4
665214,1
323216,2
208095,1
662248,1
7861,1
26464,1
397278,1
489691,1
96519,2
676668,4
66116,1
176377,2
641941,1
286846,1
257294,1
131993,2
155448,1
553106,1
585345,1
367934,2
268050,1
550298,1
127632,2
411790,1
653190,2
250814,2
503389,1
378676,1
253654,2
421564,2
395924,2
295614,1
90400,2
114663,1
90022,1
50409,2
205890,1
83813,5
411860,2
38346,1
631074,1
63025,1
93707,1
163619,2
20827,1
197635,1
137985,2
148188,4
129548,2
283970,1
45517,1
288850,1
617868,4
472182,1
135960,2
390536,2
82742,1
379104,1
288038,2
148386,2
512718,1
402243,1
135623,1
590510,1
358501,1
249377,1
552607,1
28138,1
515941,2
271099,2
489015,2
316317,2
448303,2
247094,2
159587,1
636669,1
455358,1
9828,2
264840,2
603370,4
67999,1
76219,2
373478,1
401441,1
567595,1
573564,1
635006,1
19785,1
439601,2
541493,1
1956,1
591886,1
359273,1
90588,1
465348,1
77277,2
149988,2
586122,2
563826,1
36819,2
59613,1
509061,2
278249,1
171497,1
590061,1
448675,2
250542,1
414093,1
106531,1
475768,1
399135,1
421621,2
191457,2
602555,1
137937,2
442353,2
638445,1
326858,4
87417,1
177277,3
365510,1
471615,1
685600,1
116676,1
11680,1
471605,1
655778,1
570610,1
609191,2
486403,1
80403,1
646801,1
535150,1
582197,1
165403,2
602039,1
35903,2
376529,2
596928,2
237806,2
557273,1
142104,1
478206,1
440251,2
474307,2
60462,1
152464,1
267216,1
164462,5
15744,1
263394,2
123795,4
56766,1
222498,1
667853,2
379098,1
10313,2
300037,1
66879,1
658633,1
384419,1
658702,1
361588,1
204354,1
431894,2
89846,2
593612,1
99908,1
600440,2
404080,1
351388,1
291461,5
633685,2
613200,1
66637,2
327239,3
380112,1
178280,2
383446,2
231607,1
247362,1
565555,1
601772,1
237551,2
197069,2
48870,1
464809,2
486827,1
101487,1
577433,1
341922,1
68686,1
616548,1
237722,2
228691,1
677614,1
620896,2
323565,2
180642,2
583423,2
266687,1
265781,2
468212,2
121866,1
420177,2
261394,2
559209,4
297924,1
114666,1
126305,1
372957,1
651476,1
190318,1
429901,1
644145,2
72801,2
304118,2
52998,1
171903,1
49210,1
185766,1
11032,5
178756,2
189761,2
637135,1
450829,1
613821,2
664411,1
537008,1
507224,1
511174,2
131052,1
460766,1
161843,2
271879,1
407870,1
255691,2
441606,1
143195,1
165273,2
97068,1
593169,1
628653,1
435685,1
416813,1
72503,1
399820,1
545444,1
92264,2
84082,1
144270,2
303428,1
181857,1
242809,1
384033,2
468595,1
594428,2
363966,2
18615,1
378242,2
28040,1
482071,1
128518,2
275613,1
352022,2
642532,2
573389,1
579587,1
197555,2
60393,1
672950,5
521085,1
20741,1
449134,2
457193,1
215638,1
453825,1
260631,4
320513,2
597772,2
489741,1
386039,4
682831,1
50380,2
148782,1
31173,1
254117,1
536192,1
507668,1
630950,1
473757,2
330070,1
584176,1
371483,1
321934,4
657911,1
70907,1
266935,1
672728,1
499540,1
83140,1
183841,1
553087,1
394428,5
507335,1
102366,1
361219,1
320432,2
631148,1
403869,1
181038,2
663529,1
554767,1
617051,2
266658,1
660338,2
224195,1
125368,2
377973,1
312278,2
625323,1
137699,2
572935,1
26623,1
673601,2
56003,1
288358,1
532520,1
504471,1
379627,1
309637,1
156455,1
541034,5
542042,2
365662,1
361899,1
152888,1
652340,2
190320,1
117484,1
213135,1
158967,1
676880,1
588292,2
367516,2
122118,2
79738,2
139350,2
143347,2
307639,1
118100,1
264890,2
357328,1
163334,2
121823,1
575331,1
83225,1
612332,1
150118,2
211574,1
84073,1
371179,1
544730,1
530765,2
74599,1
101044,1
457526,1
218271,2
221922,2
97127,1
354490,1
193752,1
529804,1
574766,1
500335,1
511052,2
639288,1
43110,2
496350,1
346745,2
387799,1
530175,5
119346,1
95571,1
232299,2
375276,1
46229,1
513816,1
484850,1
35514,1
552610,1
190155,2
501441,1
32191,2
369433,1
516940,1
828,1
417062,1
209113,1
9100,2
581998,4
386725,1
478840,2
230714,2
131410,1
93146,1
422970,2
648224,3
1454,1
486894,1
190476,1
578231,2
40535,1
632369,1
461408,1
236003,1
267355,1
249827,1
472636,1
344554,1
261510,2
424641,1
409649,1
670209,2
215069,1
598936,1
452461,1
350138,1
286411,1
554239,1
70982,1
175662,2
50698,1
618157,4
502379,1
285334,1
204943,1
285083,1
463725,1
361603,1
512177,2
413446,1
623391,2
369179,1
538721,1
224605,1
615221,1
64218,1
403931,1
493447,1
639797,1
437176,2
182687,4
306925,1
362941,1
394615,5
258131,1
179027,3
597481,2
48181,2
211555,1
147772,2
277712,1
114792,1
80790,1
222280,1
176240,2
603720,1
504851,1
350901,2
38839,1
426767,1
137019,1
337442,2
2649,1
670589,1
59548,2
626931,1
91845,2
272350,1
341453,1
176547,2
103869,1
218739,1
302875,2
630255,2
13346,1
488594,2
359823,1
490604,1
252208,1
49396,1
252968,1
452403,1
308696,1
522425,2
315294,2
272098,1
14001,5
84742,2
662212,1
69881,1
298576,1
388146,1
171920,1
340905,1
