Nome do Município,latitude,longitude
Água Clara,-20.4452,-52.879
Alcinópolis,-18.3255,-53.7042
Amambai,-23.1058,-55.2253
Anastácio,-20.4823,-55.8104
Anaurilândia,-22.1852,-52.7191
Angélica,-22.1527,-53.7708
Antônio João,-22.1927,-55.9517
Aparecida do Taboado,-20.0873,-51.0961
Aquidauana,-20.4666,-55.7868
Aral Moreira,-22.9385,-55.6334
Bandeirantes,-19.9275,-54.3585
Bataguassu,-21.7159,-52.4221
Batayporã,-22.2944,-53.2705
Bela Vista,-22.1073,-56.5263
Bodoquena,-20.537,-56.7127
Bonito,-21.1261,-56.4836
Brasilândia,-21.2544,-52.0365
Caarapó,-22.6368,-54.8209
Camapuã,-19.5347,-54.0431
Campo Grande,-20.4486,-54.6295
Caracol,-22.011,-57.0277
Cassilândia,-19.1179,-51.7313
Chapadão do Sul,-18.788,-52.6263
Corguinho,-19.8243,-54.8281
Coronel Sapucaia,-23.2724,-55.5278
Corumbá,-19.0077,-57.651
Costa Rica,-18.5432,-53.1287
Coxim,-18.5013,-54.751
Deodápolis,-22.2763,-54.1682
Dois Irmãos do Buriti,-20.6848,-55.2915
Douradina,-22.0405,-54.6158
Dourados,-22.2231,-54.812
Eldorado,-23.7868,-54.2838
Fátima do Sul,-22.3789,-54.5131
Glória de Dourados,-22.4136,-54.2335
Guia Lopes da Laguna,-21.4583,-56.1117
Iguatemi,-23.6736,-54.5637
Inocência,-19.7277,-51.9281
Itaporã,-22.08,-54.7934
Itaquiraí,-23.4779,-54.187
Ivinhema,-22.3046,-53.8184
Japorã,-23.8903,-54.4059
Jaraguari,-20.1386,-54.3996
Jardim,-21.4799,-56.1489
Jateí,-22.4806,-54.3079
Juti,-22.8596,-54.6061
Ladário,-19.0089,-57.5973
Laguna Carapã,-22.5448,-55.1502
Maracaju,-21.6105,-55.1678
Miranda,-20.2355,-56.3746
Mundo Novo,-23.9355,-54.281
Naviraí,-23.0618,-54.1995
Nioaque,-21.1419,-55.8296
Nova Alvorada do Sul,-21.4657,-54.3825
Nova Andradina,-22.238,-53.3437
Novo Horizonte do Sul,-22.6693,-53.8601
Paranaíba,-19.6746,-51.1909
Paranhos,-23.8911,-55.429
Pedro Gomes,-18.0996,-54.5507
Ponta Porã,-22.5296,-55.7203
Porto Murtinho,-21.6981,-57.8836
Ribas do Rio Pardo,-20.4445,-53.7588
Rio Brilhante,-21.8033,-54.5427
Rio Negro,-19.447,-54.9859
Rio Verde de Mato Grosso,-18.9249,-54.8434
Rochedo,-19.9565,-54.8848
Santa Rita do Pardo,-21.3016,-52.8333
São Gabriel do Oeste,-19.3889,-54.5507
Selvíria,-20.3637,-51.4192
Sete Quedas,-23.9705,-55.0398
Sidrolândia,-20.9302,-54.9692
Sonora,-17.5698,-54.7551
Tacuru,-23.636,-55.0141
Taquarussu,-22.4898,-53.3519
Terenos,-20.4378,-54.8647
Três Lagoas,-20.7849,-51.7007
Vicentina,-22.4098,-54.4415
Figueirão,-18.6782093,-53.6379852
Paraíso das Águas,-19.0216,-53.0116
