Cidade	Microrregião	Mesoregião	Latitude	Longitude
AGUACLARA	TrêsLagoas	Leste	-20.44806	-52.87806
ALCINOPOLIS	AltoTaquari	CentroNorte	-18.32417	-53.70611
AMAMBAI	Dourados	Sudoeste	-23.10417	-55.22583
ANASTACIO	Aquidauana	Pantanal	-20.48361	-55.80694
ANAURILANDIA	NovaAndradina	Leste	-22.1875	-52.71778
ANGELICA	Iguatemi	Sudoeste	-22.15333	-53.77111
ANTONIOJOAO	Dourados	Sudoeste	-22.19111	-55.9475
APARECIDADOTABOADO	Paranaíba	Leste	-20.08667	-51.09361
AQUIDAUANA	Aquidauana	Pantanal	-20.47111	-55.78722
ARALMOREIRA	Dourados	Sudoeste	-22.93389	-55.63528
BANDEIRANTES	CampoGrande	CentroNorte	-19.91778	-54.36389
BATAGUASSU	NovaAndradina	Leste	-21.71417	-52.42222
BATAYPORA	NovaAndradina	Leste	-22.29528	-53.27111
BELAVISTA	Bodoquena	Sudoeste	-22.10889	-56.52111
BODOQUENA	Bodoquena	Sudoeste	-20.53861	-56.715
BONITO	Bodoquena	Sudoeste	-21.12111	-56.48194
BRASILANDIA	TrêsLagoas	Leste	-21.25583	-52.03694
CAARAPO	Dourados	Sudoeste	-22.63417	-54.82222
CAMAPUA	AltoTaquari	CentroNorte	-19.53139	-54.04389
CAMPOGRANDE	CampoGrande	CentroNorte	-20.44278	-54.64639
CARACOL	Bodoquena	Sudoeste	-22.01389	-57.02444
CASSILANDIA	Cassilândia	Leste	-19.11333	-51.73417
CHAPADAODOSUL	Cassilândia	Leste	-18.79417	-52.62278
CORGUINHO	CampoGrande	CentroNorte	-19.83167	-54.82944
CORONELSAPUCAIA	Iguatemi	Sudoeste	-23.27167	-55.52917
CORUMBA	BaixoPantanal	Pantanal	-19.00917	-57.65333
COSTARICA	Cassilândia	Leste	-18.54389	-53.12917
COXIM	AltoTaquari	CentroNorte	-18.50667	-54.76
DEODAPOLIS	Iguatemi	Sudoeste	-22.27556	-54.165
DOISIRMAOSDOBURITI	Aquidauana	Pantanal	-20.67972	-55.29611
DOURADINA	Dourados	Sudoeste	-22.04028	-54.61278
DOURADOS	Dourados	Sudoeste	-22.22111	-54.80556
ELDORADO	Iguatemi	Sudoeste	-23.78694	-54.28361
FATIMADOSUL	Dourados	Sudoeste	-22.37417	-54.51389
FIGUEIRAO	AltoTaquari	CentroNorte	-18.6794	-53.6383
GLORIADEDOURADOS	Iguatemi	Sudoeste	-22.4175	-54.2325
GUIALOPESDALAGUNA	Bodoquena	Sudoeste	-21.45778	-56.11417
IGUATEMI	Iguatemi	Sudoeste	-23.68028	-54.56111
INOCENCIA	Paranaíba	Leste	-19.72556	-51.93
ITAPORA	Dourados	Sudoeste	-22.07889	-54.78944
ITAQUIRAI	Iguatemi	Sudoeste	-23.47444	-54.185
IVINHEMA	Iguatemi	Sudoeste	-22.30472	-53.81528
JAPORA	Iguatemi	Sudoeste	-23.89111	-54.40417
JARAGUARI	CampoGrande	CentroNorte	-20.14167	-54.39944
JARDIM	Bodoquena	Sudoeste	-21.48028	-56.13806
JATEI	Iguatemi	Sudoeste	-22.48194	-54.3025
JUTI	Dourados	Sudoeste	-22.86056	-54.60278
LADARIO	BaixoPantanal	Pantanal	-19.00472	-57.60167
LAGUNACARAPA	Dourados	Sudoeste	-22.54639	-55.14972
MARACAJU	Dourados	Sudoeste	-21.61444	-55.16833
MIRANDA	Aquidauana	Pantanal	-20.24056	-56.37833
MUNDONOVO	Iguatemi	Sudoeste	-23.93806	-54.27083
NAVIRAI	Iguatemi	Sudoeste	-23.065	-54.19056
NIOAQUE	Bodoquena	Sudoeste	-21.13528	-55.83
NOVAALVORADADOSUL	Dourados	Sudoeste	-21.46583	-54.38389
NOVAANDRADINA	NovaAndradina	Leste	-22.23333	-53.34306
NOVOHORIZONTEDOSUL	Iguatemi	Sudoeste	-22.67222	-53.86056
PARAISODASAGUAS	Cassilândia	Leste	-19.025436	-53.009631
PARANAIBA	Paranaíba	Leste	-19.67722	-51.19083
PARANHOS	Iguatemi	Sudoeste	-23.89278	-55.43111
PEDROGOMES	AltoTaquari	CentroNorte	-18.10056	-54.55194
PONTAPORA	Dourados	Sudoeste	-22.53611	-55.72556
PORTOMURTINHO	BaixoPantanal	Pantanal	-21.69889	-57.8825
RIBASDORIOPARDO	TrêsLagoas	Leste	-20.44306	-53.75917
RIOBRILHANTE	Dourados	Sudoeste	-21.80194	-54.54639
RIONEGRO	CampoGrande	CentroNorte	-19.44944	-54.98694
RIOVERDEDEMATOgrosso	AltoTaquari	CentroNorte	-18.91806	-54.84417
ROCHEDO	CampoGrande	CentroNorte	-19.95306	-54.8925
SANTARITADOPARDO	TrêsLagoas	Leste	-21.30278	-52.83056
SAOGABRIELDOOESTE	AltoTaquari	CentroNorte	-19.39528	-54.56639
SELVIRIA	Paranaíba	Leste	-20.36722	-51.41889
SETEQUEDAS	Iguatemi	Sudoeste	-23.97028	-55.03556
SIDROLANDIA	CampoGrande	CentroNorte	-20.93194	-54.96139
SONORA	AltoTaquari	CentroNorte	-17.57694	-54.75778
TACURU	Iguatemi	Sudoeste	-23.6325	-55.01583
TAQUARUSSU	NovaAndradina	Leste	-22.48778	-53.35139
TERENOS	CampoGrande	CentroNorte	-20.44222	-54.86028
TRESLAGOAS	TrêsLagoas	Leste	-20.75111	-51.67833
VICENTINA	Dourados	Sudoeste	-22.40917	-54.43556
