shot_id,shot_made_flag
1,0
8,0
17,0
20,0
33,0
34,1
35,0
36,1
37,1
38,0
45,0
50,0
55,1
60,0
66,0
67,0
71,0
80,0
85,0
86,1
95,0
104,1
113,1
123,0
126,1
133,1
141,0
144,0
150,0
152,0
153,0
156,0
159,1
165,1
172,0
182,1
192,1
193,0
196,0
202,0
210,0
211,0
228,1
257,0
260,0
264,0
267,1
279,1
282,0
293,0
299,1
300,0
301,0
317,0
327,0
328,0
335,0
346,0
348,0
365,0
390,1
391,1
392,1
397,1
418,0
428,0
434,0
439,1
440,0
456,0
459,0
472,0
480,0
491,1
497,0
509,0
511,1
523,0
533,0
544,1
546,1
555,1
558,0
560,0
573,1
591,1
596,0
597,1
601,1
605,1
617,0
628,0
634,1
646,0
649,1
651,1
654,1
656,1
657,1
669,1
670,1
693,0
694,0
699,0
711,1
718,0
722,0
723,1
725,0
734,0
735,1
737,1
746,0
747,1
766,0
767,1
771,0
773,0
774,0
783,1
784,0
789,0
792,0
804,0
809,1
812,0
813,0
817,0
820,0
825,0
826,0
829,0
855,0
859,1
862,0
870,0
876,0
880,0
886,1
889,1
891,0
897,1
902,0
903,1
908,0
909,1
920,0
922,0
924,1
932,0
934,0
937,1
941,0
943,1
950,0
952,0
954,1
963,0
975,0
979,0
981,1
983,0
985,1
989,1
995,1
998,0
1008,0
1019,0
1023,1
1026,1
1029,1
1034,1
1036,1
1038,0
1039,0
1051,0
1052,0
1066,0
1087,1
1092,0
1094,0
1098,1
1099,1
1102,0
1118,0
1131,0
1133,1
1135,0
1138,0
1139,1
1142,1
1151,0
1152,0
1155,0
1165,1
1167,1
1172,0
1174,0
1180,0
1200,1
1202,1
1227,0
1228,1
1229,0
1237,1
1241,1
1256,0
1279,0
1293,0
1295,0
1319,1
1320,1
1321,1
1322,0
1334,0
1351,1
1373,0
1375,0
1380,0
1382,1
1385,0
1399,1
1403,1
1428,0
1434,0
1444,1
1448,1
1466,0
1476,0
1478,1
1485,1
1491,1
1494,0
1500,0
1501,1
1503,0
1519,0
1524,0
1529,0
1533,1
1538,1
1539,1
1546,1
1555,0
1559,0
1563,0
1565,1
1574,1
1591,0
1594,0
1605,0
1611,0
1614,1
1620,1
1626,0
1630,0
1632,1
1634,0
1643,1
1651,1
1655,0
1658,0
1659,1
1665,0
1675,0
1680,1
1690,1
1696,0
1714,0
1721,0
1726,1
1728,0
1734,0
1735,0
1740,0
1744,1
1747,0
1752,0
1763,1
1765,1
1769,0
1785,0
1787,0
1788,0
1793,0
1800,0
1825,0
1826,1
1834,0
1843,0
1844,0
1848,0
1849,1
1860,0
1863,0
1875,1
1883,0
1890,1
1892,0
1893,1
1897,1
1905,1
1908,1
1931,0
1940,1
1943,0
1947,0
1965,0
1967,0
1968,0
1972,1
1982,0
1985,0
2005,0
2010,1
2021,0
2024,0
2036,0
2043,0
2047,0
2049,1
2055,0
2065,1
2066,0
2070,0
2077,1
2085,0
2095,1
2097,1
2108,0
2112,1
2113,1
2122,1
2139,0
2144,1
2146,0
2148,0
2149,0
2157,0
2159,0
2168,0
2176,0
2178,1
2181,0
2187,1
2188,0
2190,0
2194,0
2197,0
2214,0
2217,0
2222,0
2223,1
2226,0
2230,0
2240,0
2247,0
2250,0
2259,0
2262,0
2266,0
2305,0
2310,0
2313,0
2319,0
2320,0
2345,1
2350,1
2356,0
2360,1
2370,1
2386,1
2398,0
2414,0
2435,1
2439,0
2446,1
2458,0
2465,0
2466,0
2470,0
2495,1
